date,net_portfolio_value,net_daily_return,net_daily_log_return,net_cumulative_return,net_cumulative_log_return,net_drawdown,gross_portfolio_value,gross_daily_return,gross_daily_log_return,gross_cumulative_return,gross_cumulative_log_return,gross_drawdown,volume_traded
2007-07-16,1042524.3251030048,0.00011659987243817227,0.00011659307520141213,0.042524325103004745,0.04164500785073801,-0.03675121356834077,1042524.3251030049,0.00011659987243817227,0.00011659307520141213,0.04252432510300497,0.04164500785073823,-0.03675121356834066,177847.59184056864
2007-07-17,1040811.3456203362,-0.0016431074473962637,-0.0016444588289510431,0.04081134562033628,0.04000054902178701,-0.038333934823022164,1040811.3456203362,-0.0016431074473964857,-0.0016444588289512654,0.04081134562033628,0.04000054902178701,-0.038333934823022164,0.0
2007-07-18,1049765.524383913,0.008603075669049387,0.008566280099670757,0.04976552438391302,0.04856682912145765,-0.030060648895947728,1049765.524383913,0.008603075669049387,0.008566280099670757,0.04976552438391302,0.04856682912145765,-0.030060648895947728,0.0
2007-07-19,1053754.2023968806,0.003799589451471519,0.003792389244262647,0.05375420239688067,0.052359218365720356,-0.02637527756892566,1053754.2023968806,0.003799589451471519,0.003792389244262647,0.05375420239688067,0.052359218365720356,-0.02637527756892566,0.0
2007-07-20,1054110.0949095492,0.0003377376923945352,0.00033768067185839816,0.05411009490954921,0.05269689903757873,-0.026046447801913453,1054110.0949095492,0.0003377376923945352,0.00033768067185839816,0.05411009490954921,0.05269689903757873,-0.026046447801913453,0.0
2007-07-23,1052172.5960228776,-0.0018380422462778157,-0.0018397335186651764,0.052172596022877604,0.050857165518913616,-0.027836615576765755,1052172.5960228776,-0.0018380422462778157,-0.0018397335186651764,0.052172596022877604,0.050857165518913616,-0.027836615576765755,183724.46252067425
2007-07-24,1045858.0905631053,-0.0060013969985918125,-0.006019477757729521,0.045858090563105414,0.04483768776118415,-0.033670953994184294,1045858.0905631053,-0.0060013969985918125,-0.006019477757729521,0.045858090563105414,0.04483768776118415,-0.033670953994184294,0.0
2007-07-25,1049819.9660721414,0.003788157824454963,0.003781000823475371,0.04981996607214145,0.04861868858465941,-0.03001034705755934,1049819.9660721414,0.003788157824454963,0.003781000823475371,0.04981996607214145,0.04861868858465941,-0.03001034705755934,0.0
2007-07-26,1035872.6944323244,-0.013285393772801024,-0.01337443412003841,0.03587269443232444,0.035244254464621,-0.04289704155244223,1035872.6944323244,-0.013285393772801024,-0.01337443412003841,0.03587269443232444,0.035244254464621,-0.04289704155244223,0.0
2007-07-27,1036058.5651717187,0.0001794339597842587,0.00017941786343675555,0.03605856517171868,0.03542367232805762,-0.04272530477868686,1036058.5651717187,0.0001794339597842587,0.00017941786343675555,0.03605856517171868,0.03542367232805762,-0.04272530477868686,0.0
